tempo_s ax ay az
2.157000 16.20 9.10 3.22
2.160000 -20.75 14.28 -3.30
2.163000 -38.48 18.28 0.86
2.166000 -28.40 18.75 -1.53
2.169000 6.12 -0.78 4.16
2.172000 37.27 0.04 1.73
2.175000 0.86 11.34 -0.51
2.178000 -31.73 21.42 -0.71
2.181000 -37.42 19.22 -1.53
2.184000 -16.12 6.16 1.73
2.187000 43.54 3.18 1.53
2.190000 24.48 4.63 3.96
2.193000 -13.49 11.10 -4.08
2.196000 -37.11 19.42 -1.41
2.199000 -32.48 9.96 -2.90
2.202000 34.24 -0.78 4.00
2.205000 41.50 1.53 -0.04
2.208000 9.38 11.22 2.28
2.211000 -26.24 17.97 -7.88
2.214000 -38.21 15.22 0.67
2.217000 -23.07 9.49 -0.08
2.220000 42.09 1.02 3.37
2.223000 32.36 0.94 2.90
2.226000 -5.33 10.24 0.20
2.229000 -34.83 21.18 -6.00
2.232000 -35.97 9.73 -2.63
2.235000 27.62 2.71 2.75
2.238000 43.62 3.30 0.27
2.241000 18.16 8.24 3.61
2.244000 -19.42 13.61 -4.98
2.247000 -38.36 19.38 0.39
2.250000 4.55 10.28 -1.84
2.253000 38.52 -0.98 4.31
2.256000 38.52 0.08 0.78
2.259000 2.47 11.65 -0.86
2.262000 -30.79 18.83 -9.49
2.265000 -17.57 11.85 -1.06
2.268000 19.73 7.18 1.26
2.271000 43.46 2.59 1.69
2.274000 26.79 3.49 -3.69
2.277000 -11.77 20.44 -0.94
2.280000 -37.30 21.38 -2.82
2.283000 -3.80 9.81 -3.22
2.286000 33.03 0.04 3.96
2.289000 42.25 2.20 2.00
2.292000 11.61 10.79 -2.75
2.295000 -24.67 17.26 -7.49
2.298000 -24.75 16.08 0.63
2.301000 10.98 10.00 -0.47
2.304000 41.54 0.39 3.84
